Tag,date,X,Y,month,long,lat
183942,2019-08-14,-732133.086564695000000,1574358.183935660000000,8.000000000000000,191.195516425801000,63.399540404697400
183942,2019-08-15,-725871.167976837000000,1561834.346759950000000,8.000000000000000,191.372929699069000,63.302505434875200
183942,2019-08-16,-722740.208682908000000,1552441.468878160000000,8.000000000000000,191.474759556065000,63.226559501764200
183942,2019-08-17,-729002.127270766000000,1539917.631702440000000,8.000000000000000,191.407339449400000,63.104979882535800
183942,2019-08-18,-735264.045858623000000,1524262.835232800000000,8.000000000000000,191.354009773502000,62.956046259856500
183942,2019-08-19,-735264.045858623000000,1511738.998057090000000,8.000000000000000,191.407943786890000,62.846697938126500
183942,2019-08-20,-741525.964446481000000,1499215.160881370000000,8.000000000000000,191.341636791369000,62.725123033046400
183942,2019-08-21,-747787.883034339000000,1492953.242293510000000,8.000000000000000,191.248919564355000,62.658170144449900
183942,2019-08-22,-757180.760916125000000,1489822.282999580000000,8.000000000000000,191.083411829063000,62.612245584160200
183942,2019-08-23,-763442.679503983000000,1480429.405117800000000,8.000000000000000,191.005268778645000,62.517838762752700
183942,2019-08-24,-769704.598091841000000,1477298.445823870000000,8.000000000000000,190.900204083955000,62.477966175503000
183942,2019-08-25,-769704.598091841000000,1474167.486529940000000,8.000000000000000,190.913918285884000,62.450681091887700
183942,2019-08-26,-769704.598091841000000,1467905.567942080000000,8.000000000000000,190.941273373735000,62.396108249707100
183942,2019-08-27,-769704.598091841000000,1464774.608648150000000,8.000000000000000,190.954914387877000,62.368820482918000
183942,2019-08-28,-772835.557385770000000,1461643.649354220000000,8.000000000000000,190.909466093171000,62.335235389641700
183942,2019-08-29,-772835.557385770000000,1461643.649354220000000,8.000000000000000,190.909466093171000,62.335235389641700
183942,2019-08-30,-772835.557385770000000,1458512.690060290000000,8.000000000000000,190.923108329916000,62.307951495336600
183942,2019-08-31,-775966.516679699000000,1455381.730766370000000,8.000000000000000,190.877784774599000,62.274357404808000
183942,2019-09-01,-775966.516679699000000,1449119.812178510000000,9.000000000000000,190.905047276883000,62.219796332372400
183942,2019-09-02,-779097.475973627000000,1445988.852884580000000,9.000000000000000,190.859873000734000,62.186197974224500
183942,2019-09-03,-782228.435267556000000,1442857.893590650000000,9.000000000000000,190.814797099258000,62.152585894588300
183942,2019-09-04,-785359.394561485000000,1439726.934296720000000,9.000000000000000,190.769819292862000,62.118960126655600
183942,2019-09-05,-788490.353855414000000,1436595.975002790000000,9.000000000000000,190.724939302805000,62.085320703447200
183942,2019-09-06,-791621.313149343000000,1436595.975002790000000,9.000000000000000,190.666413474942000,62.078925106797000
183942,2019-09-07,-794752.272443272000000,1433465.015708860000000,9.000000000000000,190.621703899894000,62.045253784163000
183942,2019-09-08,-797883.231737200000000,1430334.056414930000000,9.000000000000000,190.577091460748000,62.011568912489000
183942,2019-09-09,-801014.191031129000000,1427203.097121010000000,9.000000000000000,190.532575881426000,61.977870524147500
183942,2019-09-10,-801014.191031129000000,1424072.137827080000000,9.000000000000000,190.546391961015000,61.950627112354800
183942,2019-09-11,-804145.150325058000000,1420941.178533150000000,9.000000000000000,190.501996901370000,61.916919902172400
183942,2019-09-12,-804145.150325058000000,1417810.219239220000000,9.000000000000000,190.515812690084000,61.889680069387200
183942,2019-09-13,-804145.150325058000000,1414679.259945290000000,9.000000000000000,190.529604315199000,61.862439149364900
183942,2019-09-14,-804145.150325058000000,1411548.300651360000000,9.000000000000000,190.543371838867000,61.835197138487900
183942,2019-09-15,-807276.109618987000000,1408417.341357430000000,9.000000000000000,190.499144231504000,61.801490340364200
183942,2019-09-16,-807276.109618987000000,1405286.382063500000000,9.000000000000000,190.512911455867000,61.774251829287000
183942,2019-09-17,-807276.109618987000000,1402155.422769570000000,9.000000000000000,190.526654690715000,61.747012205210800
183942,2019-09-18,-807276.109618987000000,1399024.463475650000000,9.000000000000000,190.540373997524000,61.719771464573700
183942,2019-09-19,-810407.068912916000000,1395893.504181720000000,9.000000000000000,190.496312584593000,61.686064926847000
183942,2019-09-20,-810407.068912916000000,1392762.544887790000000,9.000000000000000,190.510031583876000,61.658827607703800
183942,2019-09-21,-810407.068912916000000,1392762.544887790000000,9.000000000000000,190.510031583876000,61.658827607703800
183942,2019-09-22,-810407.068912916000000,1392762.544887790000000,9.000000000000000,190.510031583876000,61.658827607703800
183942,2019-09-23,-810407.068912916000000,1392762.544887790000000,9.000000000000000,190.510031583876000,61.658827607703800
183942,2019-09-24,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-25,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-26,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-27,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-28,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-29,-810407.068912916000000,1389631.585593860000000,9.000000000000000,190.523726765856000,61.631589150122000
183942,2019-09-30,-807276.109618987000000,1389631.585593860000000,9.000000000000000,190.581388961377000,61.638042507761800
183942,2019-10-01,-807276.109618987000000,1389631.585593860000000,10.000000000000000,190.581388961377000,61.638042507761800
183942,2019-10-02,-807276.109618987000000,1389631.585593860000000,10.000000000000000,190.581388961377000,61.638042507761800
183942,2019-10-03,-807276.109618987000000,1389631.585593860000000,10.000000000000000,190.581388961377000,61.638042507761800
